,Positive distance,Negative distance
2149,3.3035932,12.50635
2150,4.670658,22.350754
2151,3.6927571,12.014921
2152,4.3431964,15.854614
2153,2.129427,20.040857
2154,3.9826603,19.148207
2155,4.788003,15.567659
2156,5.228014,28.479975
2157,6.8449516,5.3662844
2158,5.625558,25.19662
2159,10.373751,15.552576
2160,5.9566236,17.749424
2161,3.3312135,22.841665
2162,6.078582,18.712418
2163,4.0972986,20.409264
2164,4.174158,11.68648
2165,6.2181377,13.893932
2166,3.86703,17.29874
2167,5.2337227,20.879486
2168,5.1429596,6.797201
2169,7.4164286,18.291142
2170,11.326299,20.549887
2171,6.6199856,17.889114
2172,2.933411,18.12561
2173,3.2862759,21.116026
2174,1.6349235,18.251846
2175,9.284449,19.497355
2176,3.289764,11.970411
2177,5.804516,11.20902
2178,1.227375,19.028866
2179,4.7023773,22.940847
2180,7.4941144,24.500881
2181,5.9826093,15.03133
2182,2.7762399,21.894186
2183,4.5030894,11.284934
2184,5.552454,15.912062
2185,7.234034,28.234293
2186,5.9839325,17.971134
2187,6.0136185,11.33709
2188,6.463293,13.106163
2189,2.4636278,17.927326
2190,3.0222056,24.555428
2191,4.011478,28.016314
2192,5.880038,17.836826
2193,8.15554,23.34272
2194,1.6838318,17.972149
2195,4.5608196,23.98376
2196,5.674179,22.384136
2197,4.194839,20.2554
2198,3.9095232,26.868881
2199,3.4105647,15.682646
2200,4.583928,20.729225
2201,2.841693,20.968048
2202,13.040918,21.2627
2203,3.5201735,17.24319
2204,4.12706,25.460457
2205,6.49986,18.78788
2206,4.131547,24.883942
2207,4.0380383,16.347427
2208,4.3710976,20.837616
2209,3.5032248,27.97562
2210,5.9908476,22.690536
2211,1.9004503,9.414146
2212,7.621627,26.04479
2213,4.9882326,19.86319
2214,6.9984584,20.414146
2215,4.052664,26.915115
2216,3.400052,15.799582
2217,2.8929706,21.807737
2218,4.3850527,17.637695
2219,4.8699474,19.24621
2220,6.307667,25.193768
2221,4.5236897,23.64727
2222,4.939955,25.490509
2223,6.2678003,19.117283
2224,5.2819023,13.051035
2225,6.6444755,19.314735
2226,3.7902753,18.55999
2227,7.87897,24.84988
2228,3.0015514,19.773792
2229,7.9618955,20.394815
2230,9.965196,15.516031
2231,6.015564,23.200195
2232,8.078764,11.731522
2233,2.0422103,16.282299
2234,6.173787,18.584911
2235,4.5840416,25.386703
2236,3.3180637,27.115812
2237,4.3972673,17.121569
2238,2.9011223,17.033981
2239,2.5373318,15.521712
2240,1.4819092,11.763799
2241,9.309245,23.202477
2242,3.434484,20.438572
2243,9.426184,20.132381
2244,4.732592,26.374615
2245,10.546909,14.546257
2246,6.057415,12.037631
2247,3.0010548,18.414421
2248,3.7154698,15.018692
2249,4.607204,31.473837
2250,5.9939413,20.443518
2251,9.142319,26.066706
2252,9.909101,24.097588
2253,11.426277,19.877392
2254,2.7469049,11.251802
2255,3.1183681,23.915174
2256,9.197153,24.45097
2257,4.85637,22.127298
2258,7.466733,23.954254
2259,5.527416,14.708601
2260,2.7364125,15.124208
2261,9.150117,24.179096
2262,3.8673344,19.247046
2263,3.416513,20.30697
2264,6.3739595,17.516525
2265,5.3169484,30.98243
2266,7.280765,12.24333
2267,5.995159,23.76557
2268,4.5269547,29.345413
2269,3.1128983,14.565177
2270,4.44053,21.75168
2271,3.792325,23.049887
2272,6.935836,14.816938
2273,4.4351153,18.99411
2274,6.5963798,12.758177
2275,8.239332,24.078201
2276,3.8962765,22.290234
2277,4.303829,17.180634
2278,4.6041327,29.120157
2279,8.629893,23.817116
2280,5.376684,22.744003
2281,4.925138,14.00842
2282,3.2645013,23.146393
2283,5.128903,15.132824
2284,4.0289392,9.203594
2285,3.900897,29.812757
2286,6.1491003,25.961323
2287,8.005699,15.907368
2288,8.931576,19.09299
2289,6.6857476,18.35682
2290,8.363662,19.983124
2291,4.038352,18.438873
2292,5.3663077,27.637154
2293,4.1282716,23.42313
2294,6.7798305,21.228651
2295,4.77837,15.787058
2296,6.987252,12.173217
2297,6.456834,30.929367
2298,6.884414,19.997816
2299,5.919943,16.37575
2300,5.756168,28.905832
2301,5.7751107,11.667913
2302,6.083391,15.153778
2303,9.230043,26.156723
2304,4.307454,25.825132
2305,4.6762547,27.921837
2306,7.059199,20.79985
2307,5.5980377,25.579525
2308,6.655212,25.095472
2309,5.771454,18.474703
2310,2.3821096,15.639917
2311,3.6157346,24.408737
2312,5.7347655,17.103594
2313,6.859529,16.125034
2314,2.7896228,11.871774
2315,6.533714,21.003126
2316,4.90755,20.76401
2317,4.4017267,19.530413
2318,5.262203,13.406503
2319,5.606506,28.93806
2320,9.74085,9.306923
2321,6.947981,32.715813
2322,7.294427,9.482171
2323,8.10301,20.497532
2324,4.5434494,17.307749
2325,6.682125,19.692509
2326,2.3270698,25.312508
2327,5.1023836,13.891766
2328,3.887664,17.625772
2329,8.693172,21.97324
2330,8.068927,35.195312
2331,7.761354,28.711603
2332,3.3444262,21.7855
2333,5.5984263,24.591007
2334,6.872728,24.36506
2335,6.5622325,8.362675
2336,9.334203,14.9056
2337,6.8084035,21.319153
2338,5.475192,32.04659
2339,5.060546,20.435034
2340,5.419162,16.889772
2341,3.9433918,21.404154
2342,4.5967174,11.0675125
2343,7.693578,16.561886
2344,8.159092,31.71569
2345,8.665895,13.523916
2346,5.364546,9.67857
2347,4.4317966,22.41457
2348,2.4711096,27.599737
2349,8.405642,18.317947
2350,3.9367173,15.131054
2351,4.685521,20.179855
2352,2.5592,24.456789
2353,7.191449,24.296835
2354,2.7731152,10.985401
2355,6.396737,26.466137
2356,3.8001537,34.191837
2357,2.3037677,22.656017
2358,3.2894926,19.751781
2359,3.3955586,29.26987
2360,2.848506,18.611832
2361,11.460093,18.059528
2362,6.1974177,26.670628
2363,9.1878395,25.902609
2364,7.574415,22.02211
2365,4.843007,17.594349
2366,7.3288817,28.542519
2367,3.6600502,15.306438
2368,5.109565,24.791363
2369,4.297007,16.780888
2370,4.433571,30.474453
2371,6.173776,19.794695
2372,3.5346732,15.564979
2373,2.7925072,15.865105
2374,7.3065815,23.854107
2375,2.780646,26.566437
2376,9.049671,23.822796
2377,3.9822123,14.698602
2378,3.3967052,15.670057
2379,5.7017965,16.84325
2380,3.1087723,16.574806
2381,9.162166,24.372967
2382,4.2299805,10.771715
2383,3.7099738,12.968447
2384,5.1523333,18.537823
2385,1.8083367,16.80542
2386,6.8975277,21.331089
2387,4.8691998,24.462864
2388,4.572093,17.008934
2389,5.0142746,22.722578
2390,8.425419,21.383776
2391,7.7883573,23.268158
2392,7.3353186,20.600315
2393,4.159936,30.99424
2394,3.0231736,22.39904
2395,4.8958836,14.736036
2396,4.7633257,19.415749
2397,2.3467216,20.26905
2398,2.2068474,9.360244
2399,5.456052,25.103174
2400,3.2801516,13.944077
2401,6.260891,28.104307
2402,5.918256,29.512537
2403,3.1977463,21.254765
2404,4.4433265,20.2196
2405,6.919855,20.312756
2406,3.5868175,25.712042
2407,5.9765825,26.287605
2408,5.371468,10.594248
2409,1.1455729,21.024906
2410,1.5256481,24.610918
2411,2.425003,12.478189
2412,8.499912,29.28038
2413,2.5467281,15.754819
2414,5.7543383,18.22578
2415,8.919764,17.331198
2416,4.816783,30.441004
2417,5.6518607,26.488277
2418,1.4099221,17.089722
2419,5.34475,24.24744
2420,4.7355747,23.993917
2421,1.7826948,21.74812
2422,3.1281621,17.396793
2423,4.7103624,22.135906
2424,5.567849,27.856472
2425,7.4416533,12.236953
2426,6.247985,26.666054
2427,1.8548703,18.908478
2428,3.5005486,15.60417
2429,2.9027634,22.385479
2430,3.5654688,14.532427
2431,5.554628,29.224575
2432,3.664067,20.620651
2433,3.1215997,27.446993
2434,3.980205,23.500244
2435,1.6995456,9.575298
2436,5.193825,15.59923
2437,3.3890104,11.077831
2438,6.290434,24.391268
2439,5.11783,14.996537
2440,7.193748,27.240124
2441,9.244116,25.478785
2442,3.427594,22.276947
2443,2.8988829,23.445688
2444,1.7714632,20.816048
2445,6.879367,16.12897
2446,5.6927886,19.983389
2447,3.350414,25.250082
2448,9.195929,33.40567
2449,6.35626,21.262201
2450,8.550212,20.519506
2451,4.04647,23.754482
2452,6.322796,22.843742
2453,3.0106723,11.808099
2454,6.4219246,7.2547016
2455,4.686983,17.373234
2456,8.243326,26.184713
2457,5.4810977,18.970482
2458,2.26466,18.1995
2459,6.617627,23.355108
2460,11.403444,16.312038
2461,10.6810255,18.540579
2462,5.8411064,14.438083
2463,3.7177863,17.533894
2464,6.3894987,30.821405
2465,3.6119275,26.061487
2466,4.924824,29.750946
2467,5.642826,15.872049
2468,1.8370589,21.545338
2469,5.799698,15.707009
2470,5.2495,18.202465
2471,7.9361825,23.01954
2472,7.540079,20.817411
2473,1.775934,36.926086
2474,4.2580886,15.765234
2475,5.936519,18.319698
2476,6.86329,22.153172
2477,3.7398465,20.95868
2478,6.5890636,25.867313
2479,8.133271,23.84729
2480,4.283849,18.050108
2481,2.2699385,29.291656
2482,10.131041,19.092594
2483,7.164476,21.73925
2484,4.887063,14.387341
2485,5.1862984,17.8012
2486,2.5789075,21.5472
2487,7.515353,28.117613
2488,3.9716926,8.218085
2489,5.7035036,29.474865
2490,6.0150957,38.475006
2491,1.0574188,21.41137
2492,6.6288157,26.025366
2493,3.0205479,22.693785
2494,7.06625,21.129135
2495,6.137268,20.008286
2496,6.912529,22.758512
2497,5.309472,24.616295
2498,2.387057,20.661959
2499,4.004787,24.55103
2500,4.9904613,27.69981
2501,4.5426517,23.560228
2502,4.2784786,19.371902
2503,9.748307,27.908745
2504,8.259297,21.199211
2505,7.6789618,19.913486
2506,4.6959324,12.802954
2507,4.84704,12.307884
2508,1.1837796,22.609009
2509,1.6123137,19.357979
2510,5.3219376,26.35433
2511,5.891222,33.26852
2512,9.3806715,21.626553
2513,4.3421583,14.629276
2514,6.754079,14.324516
2515,4.2363596,24.33789
2516,4.5579247,24.230625
2517,10.470363,19.023903
2518,7.184491,20.599684
2519,3.5869904,17.03852
2520,4.842656,11.660993
2521,3.6362095,14.857845
2522,2.217442,22.403692
2523,2.5551627,21.928677
2524,5.5252714,17.669867
2525,5.3791866,15.722307
2526,4.2959375,20.330713
2527,7.8967824,14.045368
2528,1.9248192,21.8961
2529,6.4428663,21.113434
2530,9.754218,28.168928
2531,5.366338,35.22121
2532,8.347136,19.944115
2533,2.891492,12.59043
2534,2.76761,23.996765
2535,3.563008,16.078033
2536,5.5496364,22.787361
2537,7.3228874,22.143852
2538,2.8414044,17.850594
2539,5.989194,25.737612
2540,6.0418625,20.314507
2541,7.5568314,21.219574
2542,4.262479,17.96526
2543,3.3956208,23.672333
2544,4.598308,14.805695
2545,5.391966,19.18389
2546,3.6890538,23.22141
2547,9.416849,23.166458
2548,4.1922474,10.431765
2549,7.265951,29.743309
2550,2.0037782,17.997047
2551,5.722655,17.807865
2552,2.2831583,28.538353
2553,5.5862074,27.99442
2554,2.8308706,19.392601
2555,5.9666595,27.383337
2556,5.2884884,17.962332
2557,3.7566247,15.664736
2558,3.7429085,16.74276
2559,2.180256,24.017603
2560,5.6344776,18.25584
2561,10.247459,18.202251
2562,9.127506,25.070017
2563,4.412248,17.929934
2564,8.911451,24.85769
2565,4.449818,22.802933
2566,6.609872,23.303183
2567,6.07221,24.806229
2568,4.420439,16.877676
2569,7.0821953,22.549934
2570,3.1488008,16.106846
2571,4.902715,33.2472
2572,7.722167,32.050865
